filename,true age,estimated age,abs value diffs,diffs,,,
1_0_2_20161219140525218.jpg.chip.jpg,1,0,1,1,,ave,1.823084201
1_0_2_20161219140530307.jpg.chip.jpg,1,0,1,1,,sd,4.430313924
1_0_2_20161219140540938.jpg.chip.jpg,1,0,1,1,,˜c“x,-1.062281673
1_0_2_20161219140744200.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219140748280.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219140756601.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219140811232.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219140913256.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219140929864.jpg.chip.jpg,1,1,0,0,,,
1_0_2_20161219140952943.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219141023272.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219141101408.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219141226856.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219141529089.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219141758721.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219141817185.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219141824081.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219141908313.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219141912009.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219141927321.jpg.chip.jpg,1,1,0,0,,,
1_0_2_20161219142002631.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219142006881.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219142032650.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219142039985.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219142124569.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219142306002.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219142409225.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219142452152.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219151026723.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219151035204.jpg.chip.jpg,1,1,0,0,,,
1_0_2_20161219151117789.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219151123435.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219151505283.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219152901372.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219153055452.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219153127196.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219153151084.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219153209772.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219153300420.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219153318900.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219153457308.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219153658004.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219154024292.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219154038141.jpg.chip.jpg,1,1,0,0,,,
1_0_2_20161219154041477.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219154354285.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219154715885.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219155349310.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219155400229.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219155411381.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219155413397.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219155542229.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219155655085.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219155659165.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219155701277.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219155744942.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219155748349.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219155759221.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219155802845.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219155822605.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219155850477.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219155854085.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219155855829.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219155857576.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219155859061.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219155902022.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219160107597.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219160450054.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219160747326.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219160949398.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219160951502.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219160955846.jpg.chip.jpg,1,1,0,0,,,
1_0_2_20161219161032534.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219161428895.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219161431358.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219161616326.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219161618142.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219161623174.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219161625326.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219161626814.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219161640358.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219161822166.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219161826830.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219161831390.jpg.chip.jpg,1,1,0,0,,,
1_0_2_20161219161843718.jpg.chip.jpg,1,72,71,-71,,,
1_0_2_20161219161855278.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219161919870.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219161941534.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219161944926.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219162118102.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219162212662.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219162427318.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219162431598.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219162433846.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219162514182.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219162518471.jpg.chip.jpg,1,0,1,1,,,
1_0_2_20161219162544751.jpg.chip.jpg,1,0,1,1,,,
